Date,EnergyConsumption
11/01/2017, 3.173 
12/01/2017, 3.145 
13/01/2017, 3.094 
14/01/2017, 2.957 
15/01/2017, 2.711 
16/01/2017, 3.004 
17/01/2017, 3.046 
18/01/2017, 3.071 
19/01/2017, 3.105 
20/01/2017, 3.074 
21/01/2017, 2.974 
22/01/2017, 2.788 
23/01/2017, 3.028 
24/01/2017, 3.069 
25/01/2017, 3.050 
26/01/2017, 3.002 
27/01/2017, 3.031 
28/01/2017, 2.690 
29/01/2017, 2.641 
30/01/2017, 2.978 
31/01/2017, 3.052 
01/02/2017, 3.042 
02/02/2017, 2.991 
03/02/2017, 2.977 
04/02/2017, 2.879 
05/02/2017, 2.767 
06/02/2017, 3.092 
07/02/2017, 3.075 
08/02/2017, 3.060 
09/02/2017, 3.062 
10/02/2017, 3.020 
11/02/2017, 2.910 
12/02/2017, 2.731 
13/02/2017, 2.977 
14/02/2017, 3.032 
15/02/2017, 2.746 
16/02/2017, 2.968 
17/02/2017, 3.042 
18/02/2017, 2.973 
19/02/2017, 2.806 
20/02/2017, 3.101 
21/02/2017, 3.110 
22/02/2017, 3.105 
23/02/2017, 3.124 
24/02/2017, 3.139 
25/02/2017, 2.979 
26/02/2017, 2.774 
27/02/2017, 3.077 
28/02/2017, 3.122 
01/03/2017, 3.090 
02/03/2017, 3.092 
03/03/2017, 3.080 
04/03/2017, 2.984 
05/03/2017, 2.779 
06/03/2017, 3.054 
07/03/2017, 3.060 
08/03/2017, 3.105 
09/03/2017, 3.140 
10/03/2017, 3.116 
11/03/2017, 3.012 
12/03/2017, 2.815 
13/03/2017, 3.097 
14/03/2017, 3.107 
15/03/2017, 3.126 
16/03/2017, 3.142 
17/03/2017, 3.164 
18/03/2017, 3.025 
19/03/2017, 2.816 
20/03/2017, 3.109 
21/03/2017, 3.148 
22/03/2017, 3.152 
23/03/2017, 3.185 
24/03/2017, 3.182 
25/03/2017, 3.076 
26/03/2017, 2.806 
27/03/2017, 3.018 
28/03/2017, 2.879 
29/03/2017, 3.177 
30/03/2017, 3.234 
31/03/2017, 3.196 
01/04/2017, 3.042 
02/04/2017, 2.844 
03/04/2017, 3.078 
04/04/2017, 3.118 
05/04/2017, 3.175 
06/04/2017, 3.137 
07/04/2017, 3.090 
08/04/2017, 3.021 
09/04/2017, 2.830 
10/04/2017, 3.129 
11/04/2017, 3.198 
12/04/2017, 3.188 
13/04/2017, 3.204 
14/04/2017, 2.869 
15/04/2017, 2.943 
16/04/2017, 2.843 
17/04/2017, 3.188 
18/04/2017, 3.244 
19/04/2017, 3.235 
20/04/2017, 3.227 
21/04/2017, 3.214 
22/04/2017, 3.077 
23/04/2017, 2.825 
24/04/2017, 2.734 
25/04/2017, 3.132 
26/04/2017, 3.204 
27/04/2017, 3.181 
28/04/2017, 3.145 
29/04/2017, 3.036 
30/04/2017, 2.801 
01/05/2017, 2.682 
02/05/2017, 3.117 
03/05/2017, 3.203 
04/05/2017, 3.189 
05/05/2017, 3.150 
06/05/2017, 3.073 
07/05/2017, 2.849 
08/05/2017, 3.152 
09/05/2017, 3.210 
10/05/2017, 3.215 
11/05/2017, 2.946 
12/05/2017, 3.160 
13/05/2017, 3.060 
14/05/2017, 2.872 
15/05/2017, 3.180 
16/05/2017, 3.263 
17/05/2017, 3.234 
18/05/2017, 3.218 
19/05/2017, 3.211 
20/05/2017, 3.086 
21/05/2017, 2.855 
22/05/2017, 3.167 
23/05/2017, 3.235 
24/05/2017, 3.203 
25/05/2017, 2.958 
26/05/2017, 3.170 
27/05/2017, 3.117 
28/05/2017, 2.971 
29/05/2017, 3.174 
30/05/2017, 3.243 
31/05/2017, 3.245 
01/06/2017, 3.009 
02/06/2017, 3.149 
03/06/2017, 3.081 
04/06/2017, 2.900 
05/06/2017, 3.160 
06/06/2017, 3.257 
07/06/2017, 3.279 
08/06/2017, 3.265 
09/06/2017, 3.265 
10/06/2017, 3.174 
11/06/2017, 2.993 
12/06/2017, 3.258 
13/06/2017, 3.240 
14/06/2017, 3.291 
15/06/2017, 3.289 
16/06/2017, 3.279 
17/06/2017, 3.158 
18/06/2017, 2.922 
19/06/2017, 3.125 
20/06/2017, 3.062 
21/06/2017, 3.015 
22/06/2017, 2.918 
23/06/2017, 2.657 
24/06/2017, 2.345 
25/06/2017, 2.120 
26/06/2017, 2.141 
27/06/2017, 2.198 
28/06/2017, 2.279 
29/06/2017, 2.388 
30/06/2017, 2.481 
01/07/2017, 2.510 
02/07/2017, 2.490 
03/07/2017, 2.964 
04/07/2017, 3.097 
05/07/2017, 3.082 
06/07/2017, 3.096 
07/07/2017, 3.083 
08/07/2017, 3.002 
09/07/2017, 2.778 
10/07/2017, 3.066 
11/07/2017, 3.152 
12/07/2017, 3.170 
13/07/2017, 3.202 
14/07/2017, 3.169 
15/07/2017, 3.079 
16/07/2017, 2.815 
17/07/2017, 3.025 
18/07/2017, 3.128 
19/07/2017, 3.119 
20/07/2017, 3.152 
21/07/2017, 3.138 
22/07/2017, 3.036 
23/07/2017, 2.824 
24/07/2017, 3.067 
25/07/2017, 3.067 
26/07/2017, 3.105 
27/07/2017, 3.131 
28/07/2017, 3.124 
29/07/2017, 3.060 
30/07/2017, 2.859 
31/07/2017, 3.099 
01/08/2017, 3.091 
02/08/2017, 3.099 
03/08/2017, 3.088 
04/08/2017, 3.077 
05/08/2017, 2.995 
06/08/2017, 2.817 
07/08/2017, 3.108 
08/08/2017, 3.197 
09/08/2017, 3.203 
10/08/2017, 3.206 
11/08/2017, 3.180 
12/08/2017, 3.071 
13/08/2017, 2.883 
14/08/2017, 3.153 
15/08/2017, 3.146 
16/08/2017, 3.099 
17/08/2017, 2.645 
18/08/2017, 2.997 
19/08/2017, 3.079 
20/08/2017, 2.861 
21/08/2017, 3.142 
22/08/2017, 3.197 
23/08/2017, 3.212 
24/08/2017, 3.240 
25/08/2017, 3.213 
26/08/2017, 3.073 
27/08/2017, 2.881 
28/08/2017, 3.149 
29/08/2017, 3.186 
30/08/2017, 3.243 
31/08/2017, 3.179 
01/09/2017, 2.640 
02/09/2017, 2.919 
03/09/2017, 2.884 
04/09/2017, 3.215 
05/09/2017, 3.279 
06/09/2017, 3.248 
07/09/2017, 3.226 
08/09/2017, 3.261 
09/09/2017, 3.166 
10/09/2017, 2.968 
11/09/2017, 3.218 
12/09/2017, 3.222 
13/09/2017, 3.255 
14/09/2017, 3.268 
15/09/2017, 3.265 
16/09/2017, 3.152 
17/09/2017, 2.968 
18/09/2017, 3.235 
19/09/2017, 3.257 
20/09/2017, 3.226 
21/09/2017, 2.884 
22/09/2017, 3.168 
23/09/2017, 3.149 
24/09/2017, 2.944 
25/09/2017, 3.188 
26/09/2017, 3.226 
27/09/2017, 3.234 
28/09/2017, 3.208 
29/09/2017, 3.247 
30/09/2017, 3.141 
01/10/2017, 2.912 
02/10/2017, 3.179 
03/10/2017, 3.247 
04/10/2017, 3.271 
05/10/2017, 3.278 
06/10/2017, 3.290 
07/10/2017, 3.120 
08/10/2017, 2.888 
09/10/2017, 3.211 
10/10/2017, 3.309 
11/10/2017, 3.314 
12/10/2017, 3.329 
13/10/2017, 3.347 
14/10/2017, 3.189 
15/10/2017, 2.974 
16/10/2017, 3.191 
17/10/2017, 3.195 
18/10/2017, 3.240 
19/10/2017, 3.246 
20/10/2017, 3.270 
21/10/2017, 3.175 
22/10/2017, 2.948 
23/10/2017, 3.281 
24/10/2017, 3.306 
25/10/2017, 3.324 
26/10/2017, 3.316 
27/10/2017, 3.297 
28/10/2017, 3.172 
29/10/2017, 2.972 
30/10/2017, 3.266 
31/10/2017, 3.319 
01/11/2017, 3.314 
02/11/2017, 3.318 
03/11/2017, 3.343 
04/11/2017, 3.173 
05/11/2017, 2.913 
06/11/2017, 3.236 
07/11/2017, 3.275 
08/11/2017, 3.264 
09/11/2017, 3.225 
10/11/2017, 3.214 
11/11/2017, 3.129 
12/11/2017, 2.915 
13/11/2017, 3.140 
14/11/2017, 3.187 
15/11/2017, 3.211 
16/11/2017, 3.182 
17/11/2017, 3.148 
18/11/2017, 3.073 
19/11/2017, 2.845 
20/11/2017, 3.132 
21/11/2017, 3.184 
22/11/2017, 3.214 
23/11/2017, 3.180 
24/11/2017, 3.132 
25/11/2017, 3.029 
26/11/2017, 2.846 
27/11/2017, 3.081 
28/11/2017, 3.106 
29/11/2017, 3.090 
30/11/2017, 3.032 
01/12/2017, 2.746 
02/12/2017, 2.861 
03/12/2017, 2.840 
04/12/2017, 3.175 
05/12/2017, 3.239 
06/12/2017, 3.265 
07/12/2017, 3.292 
08/12/2017, 3.284 
09/12/2017, 3.147 
10/12/2017, 2.899 
11/12/2017, 3.144 
12/12/2017, 3.139 
13/12/2017, 3.136 
14/12/2017, 3.136 
15/12/2017, 3.136 
16/12/2017, 3.066 
17/12/2017, 2.845 
